prov_insc;anio_div;anio_mat;dur_mat;cau_div;edad_hom;niv_insth;edad_muj;niv_instm
Pichincha;2018;1999;18;Por mutuo consentimiento vía notarial;57;Educación media / Bachillerato;57; Educación media / Bachillerato
Santo Domingo de los Tsáchilas;2017;1988;29;Por mutuo consentimiento vía judicial;54;Educación media / Bachillerato;48; Educación media / Bachillerato
Pichincha;2018;1990;27;Por mutuo consentimiento vía judicial;53;Superior no Universitario;48; Superior no Universitario
Pichincha;2018;1995;22;Por mutuo consentimiento vía judicial;50;Superior no Universitario;44; Superior no Universitario
Guayas;2018;2007;10;Por mutuo consentimiento vía judicial;52;Secundaria;36; Secundaria
Pichincha;2018;1993;25;Por mutuo consentimiento vía notarial;49;Educación básica;43; Educación básica
Pichincha;2018;1998;19;Por mutuo consentimiento vía judicial;44;Secundaria;40; Educación media / Bachillerato
Pichincha;2018;1997;20;Por mutuo consentimiento vía judicial;44;Educación media / Bachillerato;43; Secundaria
Pichincha;2017;2015;2;Por mutuo consentimiento vía judicial;33;Superior Universitario;27; Superior Universitario
Pichincha;2017;1997;19;Por mutuo consentimiento vía judicial;45;Superior Universitario;44; Educación media / Bachillerato
Pichincha;2018;2011;7;Por mutuo consentimiento vía notarial;48;Educación media / Bachillerato;46; Superior no Universitario
Pichincha;2017;1990;26;Por mutuo consentimiento vía notarial;49;Educación media / Bachillerato;43; Educación media / Bachillerato
Pichincha;2017;1994;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;48;Educación media / Bachillerato;46; Educación media / Bachillerato
Pichincha;2018;1995;22;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;51;Superior Universitario;51; Superior no Universitario
Pichincha;2018;2004;13;Por mutuo consentimiento vía judicial;42;Superior Universitario;42; Secundaria
Pichincha;2018;1994;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Educación media / Bachillerato;42; Educación media / Bachillerato
Pichincha;2017;2001;16;Por mutuo consentimiento vía judicial;45;Educación media / Bachillerato;34; Educación básica
Pichincha;2018;2016;2;Por mutuo consentimiento vía notarial;48;Educación media / Bachillerato;41; Superior Universitario
Pichincha;2018;1993;25;Por mutuo consentimiento vía notarial;47;Educación básica;44; Educación básica
Pichincha;2018;2002;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Superior Universitario;48; Superior no Universitario
Pichincha;2018;1998;19;Por mutuo consentimiento vía notarial;41;Superior Universitario;38; Superior Universitario
Pichincha;2018;1994;23;Por mutuo consentimiento vía notarial;44;Superior no Universitario;44; Superior no Universitario
Pichincha;2018;2005;12;Por mutuo consentimiento vía judicial;46;Educación media / Bachillerato;40; Educación media / Bachillerato
Pichincha;2017;2014;3;Por mutuo consentimiento vía judicial;33;Superior Universitario;31; Superior Universitario
Santo Domingo de los Tsáchilas;2018;2000;18;Por mutuo consentimiento vía notarial;46;Educación media / Bachillerato;42; Educación media / Bachillerato
Imbabura;2018;2002;15;Por mutuo consentimiento vía judicial;41;Primaria;42; Primaria
Pichincha;2018;2015;2;Sin Información;31;Superior no Universitario;29; Superior no Universitario
Pichincha;2018;1997;21;Por mutuo consentimiento vía judicial;41;Educación media / Bachillerato;41; Educación media / Bachillerato
Pichincha;2018;2004;13;Por mutuo consentimiento vía judicial;39;Educación media / Bachillerato;30; Educación básica
Pichincha;2017;1996;21;Por mutuo consentimiento vía judicial;42;Educación media / Bachillerato;41; Superior no Universitario
Pichincha;2018;2007;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;29;Superior no Universitario;32; Superior no Universitario
Pichincha;2018;1999;18;Por mutuo consentimiento vía judicial;40;Superior Universitario;37; Superior Universitario
Pichincha;2017;2001;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;39;Superior Universitario;43; Educación media / Bachillerato
Pichincha;2018;2013;4;Por mutuo consentimiento vía notarial;34;Educación media / Bachillerato;30; Educación media / Bachillerato
Guayas;2018;2007;10;Por mutuo consentimiento vía judicial;38;Superior Universitario;34; Primaria
Santo Domingo de los Tsáchilas;2018;1999;18;Por mutuo consentimiento vía judicial;42;Educación media / Bachillerato;43; Educación media / Bachillerato
Pichincha;2018;2000;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Educación media / Bachillerato;45; Educación media / Bachillerato
Pichincha;2018;2003;15;Por mutuo consentimiento vía judicial;42;Educación básica;59; Educación básica
Pichincha;2017;2005;11;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;42;Educación media / Bachillerato;38; Secundaria
Pichincha;2018;2008;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;30;Superior no Universitario;28; Educación media / Bachillerato
Pichincha;2018;2010;8;Por mutuo consentimiento vía notarial;32;Educación media / Bachillerato;30; Superior Universitario
Pichincha;2018;2009;8;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;38;Secundaria;35; Superior no Universitario
Azuay;2017;1999;18;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;36;Secundaria;35; Secundaria
Pichincha;2018;2006;12;Por mutuo consentimiento vía judicial;32;Educación media / Bachillerato;29; Educación media / Bachillerato
Pichincha;2018;2008;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;42;Educación básica;33; Educación básica
Pichincha;2017;2007;10;Por mutuo consentimiento vía judicial;29;Educación media / Bachillerato;29; Educación media / Bachillerato
Pichincha;2017;2008;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;33;Educación media / Bachillerato;27; Educación media / Bachillerato
Pichincha;2018;2016;1;Por mutuo consentimiento vía notarial;33;Educación media / Bachillerato;26; Educación media / Bachillerato
Pichincha;2018;2011;6;Por mutuo consentimiento vía judicial;29;Educación media / Bachillerato;23; Primaria
Pichincha;2018;2010;7;Por mutuo consentimiento vía judicial;28;Superior Universitario;27; Superior no Universitario
Pichincha;2018;2009;8;Por mutuo consentimiento vía judicial;32;Educación media / Bachillerato;31; Educación media / Bachillerato
Pichincha;2018;2011;6;Por mutuo consentimiento vía judicial;28;Educación media / Bachillerato;26; Educación media / Bachillerato
Imbabura;2017;2013;3;Por mutuo consentimiento vía judicial;29;Educación media / Bachillerato;29; Educación media / Bachillerato
Pichincha;2018;2012;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;26;Superior Universitario;24; Superior Universitario
Santo Domingo de los Tsáchilas;2018;2016;2;Por mutuo consentimiento vía notarial;27;Educación media / Bachillerato;21; Educación básica
Imbabura;2018;2012;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;24;Educación básica;23; Educación básica
Pichincha;2018;2009;8;Por mutuo consentimiento vía notarial;53;Educación básica;59; Educación media / Bachillerato
Pichincha;2018;2013;5;Por mutuo consentimiento vía judicial;38;Ninguno;37; Ninguno
Tungurahua;2018;1967;50;Por mutuo consentimiento vía judicial;74;Educación básica;68; Educación básica
Tungurahua;2018;1995;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;61;Educación básica;51; Educación básica
Tungurahua;2018;1987;31;Por mutuo consentimiento vía notarial;60;Educación básica;49; Primaria
Tungurahua;2017;1998;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;48;Educación media / Bachillerato;48; Secundaria
Tungurahua;2017;2015;2;Por mutuo consentimiento vía notarial;27;Educación media / Bachillerato;25; Secundaria
Tungurahua;2014;1994;20;Por mutuo consentimiento vía judicial;45;Educación básica;45; Educación básica
Tungurahua;2014;2004;10;Por mutuo consentimiento vía judicial;34;Educación media / Bachillerato;33; Educación media / Bachillerato
Tungurahua;2018;1999;18;Por mutuo consentimiento vía judicial;39;Educación media / Bachillerato;42; Educación media / Bachillerato
Tungurahua;2018;2008;9;Por mutuo consentimiento vía judicial;35;Primaria;35; Primaria
Tungurahua;2018;2003;15;Por mutuo consentimiento vía judicial;34;Educación básica;39; Primaria
Los Ríos;2018;2014;4;El que uno de los cónyuges sea ebrio consuetudinario o toxicómano;32;Secundaria;26; Secundaria
Tungurahua;2018;2011;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;27;Secundaria;27; Secundaria
Manabí;2018;2012;6;Por mutuo consentimiento vía notarial;27;Superior Universitario;35; Superior no Universitario
Loja;2018;2006;12;Por mutuo consentimiento vía judicial;36;Superior Universitario;31; Secundaria
Pastaza;2018;2007;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;34;Educación básica;37; Primaria
Imbabura;2018;2015;3;Por mutuo consentimiento vía notarial;27;Primaria;26; Primaria
Guayas;2017;2017;0;Por mutuo consentimiento vía judicial;59;Superior no Universitario;43; Secundaria
Azuay;2018;1968;49;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;74;Primaria;67; Primaria
Azuay;2017;1992;25;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;75;Posgrado;49; Secundaria
Azuay;2014;1993;21;Por mutuo consentimiento vía judicial;67;Primaria;65; Primaria
Azuay;2018;1998;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;57;Educación básica;53; Educación básica
Galápagos;2018;2012;5;Por mutuo consentimiento vía notarial;43;Educación media / Bachillerato;42; Educación media / Bachillerato
Azuay;2014;1987;26;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;58;Secundaria;45; Secundaria
Azuay;2017;1986;31;Por mutuo consentimiento vía judicial;50;Primaria;47; Primaria
Azuay;2017;2005;11;Por mutuo consentimiento vía judicial;39;Secundaria;34; Primaria
Azuay;2018;1999;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;54;Primaria;43; Educación básica
Azuay;2015;1998;16;Por mutuo consentimiento vía judicial;47;Primaria;37; Primaria
Azuay;2018;1988;30;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;48;Secundaria;52; Secundaria
Azuay;2017;1996;20;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Educación básica;46; Educación básica
Azuay;2018;2013;4;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Secundaria;45; Educación media / Bachillerato
Azuay;2017;1998;19;Por mutuo consentimiento vía judicial;41;Primaria;37; Posgrado
Azuay;2018;2016;2;Por mutuo consentimiento vía notarial;34;Secundaria;55; Secundaria
Azuay;2017;2015;1;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;21;Educación media / Bachillerato;21; Superior no Universitario
Azuay;2018;2016;1;Por mutuo consentimiento vía notarial;24;Secundaria;24; Secundaria
Azuay;2018;2013;4;Por mutuo consentimiento vía judicial;31;Educación media / Bachillerato;28; Superior Universitario
Azuay;2018;2013;5;Por mutuo consentimiento vía judicial;25;Superior Universitario;29; Superior Universitario
Azuay;2017;2012;5;Por mutuo consentimiento vía judicial;26;Secundaria;25; Secundaria
Cañar;2018;2013;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;27;Educación media / Bachillerato;25; Educación media / Bachillerato
Azuay;2018;2018;0;Por mutuo consentimiento vía notarial;58;Superior Universitario;30; Superior Universitario
Pichincha;2018;1974;43;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;70;Educación básica;70; Educación básica
Bolívar;2018;1978;39;Por mutuo consentimiento vía notarial;60;Superior no Universitario;58; Superior no Universitario
Pichincha;2017;1997;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;57;Superior no Universitario;54; Superior no Universitario
Bolívar;2018;1989;28;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;50;Primaria;45; Primaria
Sucumbíos;2018;1991;27;Por mutuo consentimiento vía notarial;49;Educación media / Bachillerato;42; Educación básica
Bolívar;2018;1990;27;Por mutuo consentimiento vía notarial;46;Educación básica;47; Educación básica
Bolívar;2018;2009;8;Por mutuo consentimiento vía judicial;30;Secundaria;27; Superior Universitario
Cañar;2018;2013;4;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Educación media / Bachillerato;36; Educación media / Bachillerato
Cañar;2018;1993;24;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Educación media / Bachillerato;53; Educación media / Bachillerato
Cañar;2018;2014;3;Por mutuo consentimiento vía notarial;32;Educación media / Bachillerato;27; Educación media / Bachillerato
Cañar;2018;2004;14;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;33;Educación media / Bachillerato;32; Educación media / Bachillerato
Pichincha;2018;1997;20;Por mutuo consentimiento vía notarial;50;Educación media / Bachillerato;61; Educación media / Bachillerato
Pichincha;2018;2006;11;Por mutuo consentimiento vía judicial;39;Educación básica;39; Secundaria
Pichincha;2017;2000;17;Por mutuo consentimiento vía judicial;40;Educación media / Bachillerato;37; Secundaria
Pichincha;2018;2014;3;Por mutuo consentimiento vía notarial;29;Educación media / Bachillerato;30; Educación media / Bachillerato
Cotopaxi;2018;2013;4;Por mutuo consentimiento vía judicial;37;Educación media / Bachillerato;33; Superior no Universitario
Chimborazo;2017;2015;1;Por mutuo consentimiento vía judicial;46;Educación media / Bachillerato;42; Superior Universitario
Chimborazo;2018;1993;24;Por mutuo consentimiento vía judicial;47;Educación básica;46; Posgrado
Chimborazo;2017;2004;13;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;39;Secundaria;45; Educación media / Bachillerato
Pichincha;2017;2005;12;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;34;Educación media / Bachillerato;31; Educación media / Bachillerato
Chimborazo;2018;2008;10;Por mutuo consentimiento vía judicial;32;Superior Universitario;31; Superior Universitario
Guayas;2018;2010;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;27;Primaria;23; Educación básica
Chimborazo;2018;2006;11;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;34;Secundaria;33; Educación básica
Chimborazo;2018;2006;11;Por mutuo consentimiento vía judicial;33;Secundaria;32; Secundaria
Guayas;2015;1970;45;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;73;Secundaria;69; Secundaria
El Oro;2018;2016;1;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;69;Primaria;25; Primaria
Azuay;2018;1985;32;Sin Información;56;Primaria;49; Primaria
El Oro;2018;1996;21;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;53;Primaria;43; Primaria
El Oro;2018;2007;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Secundaria;47; Superior Universitario
El Oro;2018;2000;17;Por mutuo consentimiento vía judicial;39;Superior Universitario;35; Secundaria
El Oro;2017;1998;18;Por mutuo consentimiento vía judicial;39;Secundaria;37; Secundaria
El Oro;2016;1992;24;Por mutuo consentimiento vía judicial;46;Secundaria;42; Secundaria
El Oro;2018;2003;14;Por mutuo consentimiento vía judicial;42;Primaria;32; Secundaria
El Oro;2018;2007;11;Por mutuo consentimiento vía judicial;34;Secundaria;31; Secundaria
Esmeraldas;2018;1998;20;El adulterio de uno de los cónyuges;69;Educación media / Bachillerato;52; Superior no Universitario
Orellana;2018;2003;14;Por mutuo consentimiento vía judicial;56;Educación media / Bachillerato;41; Secundaria
El Oro;2018;2010;8;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;30;Secundaria;36; Secundaria
Esmeraldas;2018;1996;22;El adulterio de uno de los cónyuges;45;Educación básica;40; Educación básica
Esmeraldas;2018;2012;6;El adulterio de uno de los cónyuges;31;Educación media / Bachillerato;32; Superior Universitario
Guayas;2018;2007;11;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;66;Secundaria;68; Secundaria
Guayas;2017;1988;29;Por mutuo consentimiento vía judicial;61;Secundaria;55; Secundaria
Guayas;2017;1987;30;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;61;Secundaria;53; Educación media / Bachillerato
Guayas;2018;1991;26;Por mutuo consentimiento vía notarial;61;Secundaria;62; Secundaria
Pichincha;2018;1982;35;Por mutuo consentimiento vía notarial;58;Superior Universitario;56; Educación media / Bachillerato
Guayas;2018;1985;32;Por mutuo consentimiento vía notarial;63;Educación media / Bachillerato;51; Secundaria
Guayas;2018;1986;31;Por mutuo consentimiento vía notarial;54;Secundaria;58; Educación media / Bachillerato
Guayas;2017;2015;2;Por mutuo consentimiento vía judicial;51;Educación media / Bachillerato;26; Educación media / Bachillerato
Guayas;2018;1993;24;Por mutuo consentimiento vía notarial;47;Secundaria;43; Secundaria
Guayas;2018;1999;18;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;51;Secundaria;42; Educación media / Bachillerato
Guayas;2017;1990;26;Por mutuo consentimiento vía judicial;51;Secundaria;48; Secundaria
Guayas;2018;1993;24;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Secundaria;44; Educación básica
Santa Elena;2012;1995;17;Por mutuo consentimiento vía judicial;49;Educación media / Bachillerato;48; Educación media / Bachillerato
Guayas;2017;2004;12;Por mutuo consentimiento vía judicial;45;Secundaria;39; Secundaria
Guayas;2018;2001;16;Por mutuo consentimiento vía judicial;46;Secundaria;35; Secundaria
Sucumbíos;2017;2015;1;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;42;Educación básica;32; Educación media / Bachillerato
Guayas;2017;2011;6;Por mutuo consentimiento vía judicial;38;Secundaria;33; Secundaria
Guayas;2018;2010;8;Por mutuo consentimiento vía judicial;39;Educación media / Bachillerato;36; Educación media / Bachillerato
Guayas;2018;2015;3;Por mutuo consentimiento vía judicial;28;Secundaria;28; Secundaria
Guayas;2018;2010;8;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;37;Primaria;29; Secundaria
Azuay;2018;2012;5;Por mutuo consentimiento vía judicial;26;Secundaria;35; Secundaria
Guayas;2018;2005;13;Por mutuo consentimiento vía judicial;34;Secundaria;34; Secundaria
Guayas;2017;2002;14;Por mutuo consentimiento vía judicial;39;Secundaria;35; Secundaria
Guayas;2018;2005;13;Por mutuo consentimiento vía judicial;41;Secundaria;35; Secundaria
Guayas;2018;2011;7;Por mutuo consentimiento vía judicial;41;Secundaria;27; Secundaria
Guayas;2016;2006;9;Por mutuo consentimiento vía judicial;38;Secundaria;32; Educación media / Bachillerato
Guayas;2016;2006;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;36;Secundaria;28; Secundaria
Santa Elena;2018;1998;20;Por mutuo consentimiento vía judicial;40;Educación media / Bachillerato;40; Educación media / Bachillerato
Guayas;2018;2014;3;Por mutuo consentimiento vía notarial;30;Secundaria;31; Secundaria
Guayas;2018;2001;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Secundaria;38; Secundaria
Guayas;2018;2015;3;Por mutuo consentimiento vía notarial;37;Superior Universitario;25; Secundaria
Guayas;2018;2011;7;Por mutuo consentimiento vía judicial;38;Secundaria;27; Secundaria
Guayas;2018;2006;11;Por mutuo consentimiento vía judicial;38;Secundaria;29; Secundaria
Santa Elena;2018;2001;16;Por mutuo consentimiento vía judicial;35;Educación media / Bachillerato;35; Educación media / Bachillerato
Azuay;2018;2008;10;Por mutuo consentimiento vía judicial;30;Educación media / Bachillerato;30; Secundaria
Guayas;2017;2010;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;31;Primaria;29; Secundaria
Santo Domingo de los Tsáchilas;2017;2011;5;Por mutuo consentimiento vía judicial;35;Superior no Universitario;29; Educación media / Bachillerato
Santa Elena;2018;2007;11;Por mutuo consentimiento vía judicial;33;Educación media / Bachillerato;29; Educación media / Bachillerato
Santa Elena;2016;2011;5;Por mutuo consentimiento vía judicial;26;Secundaria;26; Secundaria
Pichincha;2018;1987;30;Por mutuo consentimiento vía notarial;56;Educación media / Bachillerato;53; Educación media / Bachillerato
Imbabura;2017;1988;29;Por mutuo consentimiento vía notarial;50;Secundaria;46; Secundaria
Imbabura;2018;1999;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Primaria;45; Primaria
Imbabura;2017;1993;24;Por mutuo consentimiento vía judicial;43;Secundaria;43; Secundaria
Imbabura;2018;2007;10;Por mutuo consentimiento vía judicial;40;Primaria;33; Primaria
Imbabura;2017;2007;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Secundaria;35; Educación media / Bachillerato
Imbabura;2018;2009;8;Por mutuo consentimiento vía judicial;37;Primaria;37; Primaria
Imbabura;2018;2002;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;36;Primaria;35; Primaria
Imbabura;2017;2013;3;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;23;Secundaria;22; Educación media / Bachillerato
Loja;2018;1979;38;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;66;Superior Universitario;63; Superior Universitario
Loja;2018;1983;34;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;56;Primaria;56; Superior Universitario
Loja;2018;1986;32;Por mutuo consentimiento vía notarial;52;Primaria;49; Secundaria
Loja;2018;2008;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Secundaria;41; Educación media / Bachillerato
Santo Domingo de los Tsáchilas;2017;2001;16;Por mutuo consentimiento vía judicial;44;Secundaria;43; Primaria
Loja;2018;2009;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;37;Secundaria;33; Superior no Universitario
Pichincha;2018;1990;27;Por mutuo consentimiento vía notarial;55;Secundaria;51; Educación media / Bachillerato
Los Ríos;2016;1989;26;Por mutuo consentimiento vía judicial;53;Secundaria;48; Primaria
Los Ríos;2018;1995;22;Por mutuo consentimiento vía judicial;46;Superior Universitario;42; Educación básica
Bolívar;2017;2007;10;Por mutuo consentimiento vía judicial;62;Superior Universitario;32; Secundaria
Manabí;2018;1972;45;Por mutuo consentimiento vía notarial;68;Educación básica;63; Educación básica
Manabí;2016;1979;37;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;56;Educación básica;52; Educación básica
Manabí;2017;1998;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;53;Educación básica;51; Educación media / Bachillerato
Manabí;2018;1998;20;Por mutuo consentimiento vía judicial;42;Secundaria;41; Educación media / Bachillerato
Manabí;2018;1984;34;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;54;Primaria;49; Primaria
Galápagos;2018;2005;12;Por mutuo consentimiento vía notarial;53;Educación básica;61; Educación media / Bachillerato
Manabí;2018;1990;28;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;52;Educación básica;50; Educación media / Bachillerato
Manabí;2018;1994;24;Por mutuo consentimiento vía judicial;52;Educación media / Bachillerato;41; Educación media / Bachillerato
Manabí;2018;2001;16;Por mutuo consentimiento vía judicial;50;Superior Universitario;50; Superior Universitario
Manabí;2015;2014;0;Por mutuo consentimiento vía judicial;41;Educación media / Bachillerato;44; Superior Universitario
Guayas;2015;1993;22;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Secundaria;42; Secundaria
Manabí;2018;2012;6;Por mutuo consentimiento vía notarial;38;Superior Universitario;37; Superior Universitario
Cañar;2016;2006;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;32;Primaria;30; Primaria
Manabí;2018;1998;19;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Primaria;47; Educación básica
Manabí;2017;1997;20;Por mutuo consentimiento vía judicial;41;Educación media / Bachillerato;43; Educación básica
Santo Domingo de los Tsáchilas;2018;2003;15;Por mutuo consentimiento vía judicial;37;Educación básica;42; Educación básica
Manabí;2017;2007;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;36;Superior Universitario;38; Superior Universitario
Santa Elena;2016;2010;6;Por mutuo consentimiento vía judicial;37;Educación media / Bachillerato;28; Educación media / Bachillerato
Manabí;2018;2009;8;Por mutuo consentimiento vía judicial;28;Superior Universitario;28; Superior Universitario
Manabí;2018;2012;6;Por mutuo consentimiento vía judicial;24;Educación media / Bachillerato;22; Educación media / Bachillerato
Manabí;2018;2014;3;Por mutuo consentimiento vía judicial;28;Educación media / Bachillerato;23; Superior Universitario
Morona Santiago;2018;2015;2;Por mutuo consentimiento vía judicial;89;Educación básica;86; Educación básica
Morona Santiago;2018;1983;35;Por mutuo consentimiento vía judicial;55;Educación media / Bachillerato;52; Educación media / Bachillerato
Azuay;2018;1994;23;Por mutuo consentimiento vía judicial;45;Primaria;42; Primaria
Pichincha;2018;2016;2;Por mutuo consentimiento vía judicial;31;Superior Universitario;38; Superior Universitario
Orellana;2018;1986;31;Por mutuo consentimiento vía notarial;57;Primaria;49; Educación media / Bachillerato
Napo;2018;2000;17;Por mutuo consentimiento vía judicial;43;Secundaria;43; Secundaria
Pastaza;2018;2013;4;Por mutuo consentimiento vía judicial;28;Superior Universitario;30; Secundaria
Pastaza;2015;1993;22;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Educación básica;46; Educación básica
Azuay;2016;2003;13;Por mutuo consentimiento vía judicial;42;Secundaria;35; Secundaria
Pastaza;2018;2015;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;34;Secundaria;29; Secundaria
Pichincha;2018;2010;8;Por mutuo consentimiento vía notarial;80;Superior Universitario;47; Superior Universitario
Pichincha;2009;1968;40;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;68;Educación básica;68; Educación básica
Manabí;2018;1983;35;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;65;Educación media / Bachillerato;63; Educación media / Bachillerato
Pichincha;2018;1985;32;Por mutuo consentimiento vía notarial;57;Educación media / Bachillerato;54; Educación media / Bachillerato
Pichincha;2018;1988;30;Por mutuo consentimiento vía notarial;56;Superior Universitario;51; Educación media / Bachillerato
Manabí;2017;2009;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;60;Superior Universitario;36; Educación media / Bachillerato
Pichincha;2018;1985;33;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;60;Educación básica;51; Primaria
Pichincha;2018;1985;32;Por mutuo consentimiento vía notarial;56;Educación básica;50; Superior no Universitario
Guayas;2018;1992;25;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;58;Secundaria;46; Secundaria
Pichincha;2018;2015;2;Por mutuo consentimiento vía notarial;46;Superior Universitario;37; Superior Universitario
Pichincha;2018;1984;33;Por mutuo consentimiento vía notarial;54;Superior no Universitario;57; Educación media / Bachillerato
Pichincha;2018;1994;24;Por mutuo consentimiento vía notarial;54;Educación media / Bachillerato;45; Educación media / Bachillerato
Pichincha;2018;2003;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;51;Superior no Universitario;48; Superior Universitario
Pichincha;2018;1991;26;Por mutuo consentimiento vía notarial;52;Educación media / Bachillerato;51; Educación media / Bachillerato
Pichincha;2018;1988;29;Por mutuo consentimiento vía notarial;50;Primaria;47; Primaria
Los Ríos;2016;2002;13;Por mutuo consentimiento vía judicial;47;Secundaria;41; Secundaria
Manabí;2017;1998;18;Por mutuo consentimiento vía judicial;51;Superior Universitario;37; Educación media / Bachillerato
